"Thresh1","Thresh2","n","sim","chunk","Id","ThreshBias","ThreshBiasBounded"
53.7799999999996,46.22,35,0,0,"v-1",7.55999999999965,7.55999999999965
36.2799999999999,63.7200000000001,35,0,0,"v-2",-27.4400000000002,-27.4400000000002
48.53,51.4699999999998,35,0,0,"v-3",-2.93999999999976,-2.93999999999976
44.61,55.3899999999999,35,0,0,"v-4",-10.7799999999999,-10.7799999999999
62.8800000000003,37.1199999999999,35,0,0,"v-5",25.7600000000003,25.7600000000003
36.5599999999999,63.4399999999992,35,0,0,"v-6",-26.8799999999993,-26.8799999999993
38.1,61.9,35,0,0,"v-7",-23.8,-23.8
39.5,60.5,35,0,0,"v-8",-21.0000000000001,-21.0000000000001
46.15,53.85,35,0,0,"v-9",-7.70000000000003,-7.70000000000003
36.0699999999999,63.9300000000002,35,0,0,"v-10",-27.8600000000003,-27.8600000000003
51.33,48.6699999999998,35,0,0,"v-11",2.66000000000017,2.66000000000017
49.3,50.7,35,0,0,"v-12",-1.40000000000001,-1.40000000000001
42.86,57.1399999999993,35,0,0,"v-13",-14.2799999999994,-14.2799999999994
45.24,54.7599999999998,35,0,0,"v-14",-9.51999999999985,-9.51999999999985
51.05,48.95,35,0,0,"v-15",2.10000000000001,2.10000000000001
31.2399999999999,68.7600000000006,35,0,0,"v-16",-37.5200000000006,-37.5200000000006
24.5899999999999,75.4100000000001,35,0,0,"v-17",-50.8200000000002,-50.8200000000002
57.1400000000003,42.86,35,0,0,"v-18",14.2800000000004,14.2800000000004
37.4699999999999,62.5299999999999,35,0,0,"v-19",-25.06,-25.06
54.06,45.94,35,0,0,"v-20",8.12000000000003,8.12000000000003
39.43,60.57,35,0,0,"v-21",-21.1400000000001,-21.1400000000001
59.4500000000003,40.55,35,0,0,"v-22",18.9000000000003,18.9000000000003
50.28,49.72,35,0,0,"v-23",0.560000000000002,0.560000000000002
51.26,48.74,35,0,0,"v-24",2.52000000000001,2.52000000000001
43.35,56.65,35,0,0,"v-25",-13.3000000000001,-13.3000000000001
76.4600000000001,23.5399999999999,35,0,0,"v-26",52.9200000000002,52.9200000000002
45.17,54.8300000000001,35,0,0,"v-27",-9.66000000000012,-9.66000000000012
28.3699999999999,71.6299999999988,35,0,0,"v-28",-43.2599999999989,-43.2599999999989
32.01,67.99,35,0,0,"v-29",-35.98,-35.98
31.9399999999999,68.0599999999985,35,0,0,"v-30",-36.1199999999985,-36.1199999999985
34.2499999999999,65.7499999999994,35,0,0,"v-31",-31.4999999999995,-31.4999999999995
60.5699999999995,39.43,35,0,0,"v-32",21.1399999999996,21.1399999999996
53.01,46.99,35,0,0,"v-33",6.02000000000002,6.02000000000002
43.98,56.02,35,0,0,"v-34",-12.04,-12.04
45.59,54.41,35,0,0,"v-35",-8.82000000000004,-8.82000000000004
50,50,35,0,0,"Max",100,100
50,50,35,0,0,"Min",-100,-100
