"","v-1","v-2","v-3","v-4","v-5","v-6","v-7","v-8","v-9","v-10","v-11","v-12","v-13","v-14","v-15","v-16"
"v-1",0,0.1246,0.4262,0.4051,0.1276,0.3203,0.3206,0.3723,0.3118,0.1421,0.3119,0.3896,0.3379,0.3967,0.1952,0.1684
"v-2",0.1246,0,0.0957,0.1151,0.0979,0.1748,0.1785,0.106,0.1767,0.103,0.1804,0.1194,0.1493,0.12,0.0965,0.1021
"v-3",0.4262,0.0957,0,0.5906,0.15,0.1017,0.0993,0.5521,0.0979,0.1764,0.1064,0.4831,0.298,0.4794,0.2598,0.2084
"v-4",0.4051,0.1151,0.5906,0,0.144,0.1406,0.1375,0.5216,0.1457,0.1684,0.1423,0.4518,0.3013,0.4565,0.2482,0.1989
"v-5",0.1276,0.0979,0.15,0.144,0,0.111,0.1053,0.1441,0.1049,0.1053,0.1005,0.1347,0.1216,0.1271,0.1194,0.1134
"v-6",0.3203,0.1748,0.1017,0.1406,0.111,0,0.6254,0.1161,0.6021,0.0993,0.607,0.2611,0.4441,0.2654,0.1023,0.0984
"v-7",0.3206,0.1785,0.0993,0.1375,0.1053,0.6254,0,0.1217,0.6146,0.1038,0.6128,0.2658,0.454,0.2731,0.1056,0.1024
"v-8",0.3723,0.106,0.5521,0.5216,0.1441,0.1161,0.1217,0,0.1265,0.165,0.1194,0.424,0.2729,0.4208,0.2408,0.1942
"v-9",0.3118,0.1767,0.0979,0.1457,0.1049,0.6021,0.6146,0.1265,0,0.1045,0.5882,0.2489,0.4295,0.2519,0.1043,0.1054
"v-10",0.1421,0.103,0.1764,0.1684,0.1053,0.0993,0.1038,0.165,0.1045,0,0.0976,0.1438,0.1351,0.149,0.1295,0.1224
"v-11",0.3119,0.1804,0.1064,0.1423,0.1005,0.607,0.6128,0.1194,0.5882,0.0976,0,0.2595,0.4335,0.2634,0.1079,0.0988
"v-12",0.3896,0.1194,0.4831,0.4518,0.1347,0.2611,0.2658,0.424,0.2489,0.1438,0.2595,0,0.3264,0.4225,0.2038,0.1719
"v-13",0.3379,0.1493,0.298,0.3013,0.1216,0.4441,0.454,0.2729,0.4295,0.1351,0.4335,0.3264,0,0.3354,0.1607,0.1346
"v-14",0.3967,0.12,0.4794,0.4565,0.1271,0.2654,0.2731,0.4208,0.2519,0.149,0.2634,0.4225,0.3354,0,0.2054,0.1726
"v-15",0.1952,0.0965,0.2598,0.2482,0.1194,0.1023,0.1056,0.2408,0.1043,0.1295,0.1079,0.2038,0.1607,0.2054,0,0.1429
"v-16",0.1684,0.1021,0.2084,0.1989,0.1134,0.0984,0.1024,0.1942,0.1054,0.1224,0.0988,0.1719,0.1346,0.1726,0.1429,0
